,Item 1,Item 2,,,support,confidence,lift,,conviction
1,{yogurt cake},{whole wheat rice},,,0.13,0.06,0.01,,3.62
2,{yogurt cake},{whole wheat rice},,,0.13,0.06,0.01,,3.62
3,{whole wheat rice},{turkey},,,0.53,0.12,0.03,,4.2
4,{whole wheat rice},{turkey},,,0.53,0.12,0.03,,4.2
5,{yogurt cake},{whole wheat rice},,,0.13,0.06,0.01,,3.62
6,{yogurt cake},{whole wheat rice},,,0.13,0.06,0.01,,3.62
7,"frozenset({'pip fruit', 'other vegetables', 'root vegetables'})",{whole milk},,,0.06,0.47,1.57,,1.24
8,"frozenset({'butter', 'whipped/sour cream'})",frozenset({'whole milk'}),,,0.06,0.47,1.57,,1.24
9,"frozenset({'whipped/sour cream', 'pip fruit'})",{soda},,,0.06,0.47,1.57,,1.24
10,"frozenset({'rolls/buns', 'yogurt', 'root vegetables'})",frozenset({'whole milk'}),,,0.06,0.47,1.57,,1.24
11,"frozenset({'yogurt', 'butter'})",frozenset({'whole milk'}),,,0.06,0.47,1.57,,1.24
12,"frozenset({'butter', 'root vegetables'})",frozenset({'whole milk'}),,,0.06,0.47,1.57,,1.24
13,"frozenset({'tropical fruit', 'curd'})",frozenset({'whole milk'}),,,0.06,0.47,1.57,,1.24
14,"frozenset({'citrus fruit', 'whole milk', 'root vegetables'})",frozenset({'other vegetables'}),,,0.06,0.47,1.57,,1.24
1163,"{'butter', 'curd'}",frozenset({'whole milk'}),,,0.06,0.47,1.57,,1.24
34,"frozenset({'yogurt', 'citrus fruit', 'other vegetables'})",frozenset({'whole milk'}),,,0.06,0.47,1.57,,1.24
736,"frozenset({'yogurt', 'pip fruit', 'other vegetables'})",frozenset({'whole milk'}),,,0.06,0.47,1.57,,1.24
3775,"frozenset({'other vegetables', 'root vegetables', 'domestic eggs'})",frozenset({'whole milk'}),,,0.004575496,0.625,1.57,,1.24
3897,"frozenset({'pip fruit', 'domestic eggs'})",frozenset({'whole milk'}),,,0.005388917,0.623529412,2.440275274,,1.977535587
1687,"frozenset({'pip fruit', 'curd'})",frozenset({'whole milk'}),,,0.004880529,0.623376623,2.439677314,,1.976733342
1084,"frozenset({'tropical fruit', 'butter'})",frozenset({'whole milk'}),,,0.006202339,0.62244898,2.436046842,,1.971876503
281,"frozenset({'domestic eggs', 'margarine'})",frozenset({'whole milk'}),,,0.005185562,0.62195122,2.434098784,,1.96928022
1189,"frozenset({'butter', 'domestic eggs'})",frozenset({'whole milk'}),,,0.005998983,0.621052632,2.430582026,,1.964610518
438,"frozenset({'yogurt', 'tropical fruit', 'other vegetables'})",frozenset({'whole milk'}),,,0.007625826,0.619834711,2.425815511,,1.958316571
2288,"frozenset({'yogurt', 'other vegetables', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.005083884,0.617283951,2.415832732,,1.945264608
2426,"frozenset({'yogurt', 'pastry', 'other vegetables'})",frozenset({'whole milk'}),,,0.004067107,0.615384615,2.4083994,,1.935658363
849,"frozenset({'pip fruit', 'whole milk', 'root vegetables'})",frozenset({'other vegetables'}),,,0.005490595,0.613636364,3.171368175,,2.087430844
592,"frozenset({'yogurt', 'tropical fruit', 'root vegetables'})",frozenset({'other vegetables'}),,,0.004982206,0.6125,3.165495271,,2.081309346
1200,"frozenset({'butter', 'pip fruit'})",frozenset({'whole milk'}),,,0.004473818,0.611111111,2.391674404,,1.914387392
3384,"frozenset({'whipped/sour cream', 'other vegetables', 'root vegetables'})",frozenset({'whole milk'}),,,0.005185562,0.607142857,2.376144051,,1.895050146
3819,"frozenset({'tropical fruit', 'domestic eggs'})",frozenset({'whole milk'}),,,0.006914082,0.607142857,2.376144051,,1.895050146
2620,"frozenset({'yogurt', 'other vegetables', 'root vegetables'})",frozenset({'whole milk'}),,,0.007829181,0.606299213,2.372842322,,1.890989324
3530,"frozenset({'whipped/sour cream', 'pip fruit'})",frozenset({'other vegetables'}),,,0.005592272,0.604395604,3.123610494,,2.038671412
1114,"frozenset({'butter', 'bottled water'})",frozenset({'whole milk'}),,,0.005388917,0.602272727,2.357084072,,1.87184545
1806,"frozenset({'tropical fruit', 'beef'})",frozenset({'whole milk'}),,,0.004575496,0.6,2.348189415,,1.861209964
3849,"frozenset({'brown bread', 'domestic eggs'})",frozenset({'whole milk'}),,,0.004067107,0.597014925,2.336506881,,1.847423224
317,"frozenset({'whipped/sour cream', 'margarine'})",frozenset({'whole milk'}),,,0.004067107,0.597014925,2.336506881,,1.847423224
3763,"frozenset({'root vegetables', 'domestic eggs'})",frozenset({'whole milk'}),,,0.008540925,0.595744681,2.331535589,,1.841618281
3861,"frozenset({'fruit/vegetable juice', 'domestic eggs'})",frozenset({'whole milk'}),,,0.004778851,0.594936709,2.328373471,,1.83794484
1681,"frozenset({'pastry', 'curd'})",frozenset({'whole milk'}),,,0.004473818,0.594594595,2.327034555,,1.836393832
952,"frozenset({'cream cheese ', 'root vegetables'})",frozenset({'other vegetables'}),,,0.004473818,0.594594595,3.07295735,,1.98938485
1800,"frozenset({'tropical fruit', 'beef'})",frozenset({'other vegetables'}),,,0.004473818,0.586666667,3.031984586,,1.951227512
116,"frozenset({'citrus fruit', 'root vegetables'})",frozenset({'other vegetables'}),,,0.010371124,0.586206897,3.029608422,,1.949059481
1669,"frozenset({'rolls/buns', 'curd'})",frozenset({'whole milk'}),,,0.005897306,0.585858586,2.292844883,,1.797656453
2009,"frozenset({'yogurt', 'chicken'})",frozenset({'other vegetables'}),,,0.004880529,0.585365854,3.025261782,,1.945106014
2364,"frozenset({'sugar', 'other vegetables'})",frozenset({'whole milk'}),,,0.006304016,0.58490566,2.289115467,,1.793529602
565,"frozenset({'tropical fruit', 'whole milk', 'root vegetables'})",frozenset({'other vegetables'}),,,0.00701576,0.584745763,3.022057055,,1.942201426
540,"frozenset({'tropical fruit', 'root vegetables'})",frozenset({'other vegetables'}),,,0.012302999,0.584541063,3.020999134,,1.941244488
1591,"frozenset({'yogurt', 'curd'})",frozenset({'whole milk'}),,,0.01006609,0.582352941,2.27912502,,1.78256729
3428,"frozenset({'citrus fruit', 'whipped/sour cream'})",frozenset({'whole milk'}),,,0.006304016,0.579439252,2.267721865,,1.770217477
2015,"frozenset({'whipped/sour cream', 'chicken'})",frozenset({'whole milk'}),,,0.004168785,0.577464789,2.259994507,,1.761945433
2594,"frozenset({'rolls/buns', 'yogurt', 'root vegetables'})",frozenset({'other vegetables'}),,,0.004168785,0.577464789,2.984427849,,1.908734113
